source_protein_name	source_domain	source_uniprot	bp_protein_name	bp_uniprot	bp_domain	PDB
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1j8h
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1jwm
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1jws
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1jwu
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1kg0
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1klg
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1klu
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1lo5
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1pyw
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1r5i
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1seb
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1sje
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1sjh
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1t5w
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1t5x
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	1ymm
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2fse
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2g9h
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2iam
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2ian
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2icw
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2ipk
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2oje
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2seb
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2wbj
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	2xn9
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3l6f
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3o6f
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3pdo
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3pgc
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3pgd
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3qxa
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3qxd
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3s4s
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3s5l
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	3t0e
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4aen
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4c56
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4e41
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4fqx
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4i5b
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4is6
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4mcy
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4mcz
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4md0
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4md4
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4md5
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4mdi
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4mdj
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4ov5
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4x5w
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4x5x
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4y19
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	4y1a
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	5jlz
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	5lax
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	5ni9
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	5nig
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	5v4m
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	5v4n
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6bij
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6bil
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6bin
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6bir
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6biv
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6bix
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6cpl
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6cpn
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6cpo
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6cqj
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6cql
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6cqn
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6cqq
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	IgC_MHC_II_alpha	6cqr
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1a6a
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1aqd
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1bx2
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1d5m
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1d5x
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1d5z
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1d6e
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1dlh
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1fyt
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1hxy
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1j8h
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1jwm
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1jws
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1jwu
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1kg0
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1klg
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1klu
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1lo5
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1pyw
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1r5i
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1seb
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1sje
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1sjh
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1t5w
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1t5x
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	1ymm
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2fse
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2g9h
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2iam
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2ian
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2icw
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2ipk
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2oje
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2seb
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2wbj
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	2xn9
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3l6f
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3o6f
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3pdo
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3pgc
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3pgd
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3qxa
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3qxd
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3s4s
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3s5l
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	3t0e
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4aen
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4c56
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4e41
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4fqx
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4i5b
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4is6
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4mcy
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4mcz
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4md0
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4md4
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4md5
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4mdi
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4mdj
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4ov5
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4x5w
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4x5x
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4y19
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	4y1a
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	5jlz
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	5lax
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	5ni9
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	5nig
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	5v4m
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	5v4n
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6bij
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6bil
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6bin
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6bir
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6biv
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6bix
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6cpl
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6cpn
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6cpo
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6cqj
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6cql
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6cqn
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6cqq
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6cqr
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1a6a
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1aqd
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1bx2
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1d5m
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1d5x
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1d5z
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1d6e
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1dlh
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1fyt
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1hxy
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1j8h
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1jwm
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1jws
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1jwu
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1kg0
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1klg
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1klu
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1lo5
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1pyw
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1r5i
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1seb
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1sje
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1sjh
HLA class II histocompatibility antigen, DRB1-15 beta chain	NA	p01911	HLA class II histocompatibility antigen, DR alpha chain	p01903	NA	1t5w
